property_id,counts
P2936,45173
P371,46566
P915,47112
P306,47627
P3018,48005
P740,48345
P10661,49431
P1817,50556
P457,51314
P3432,51718
P541,51759
P190,51768
P1830,52781
P467,52837
P676,52856
P2670,53493
P115,53536
P65,53866
P511,53906
P655,54749
P1056,54920
P1754,55148
P1753,55313
P1420,55571
P1192,56494
P2416,56950
P9493,57394
P2417,57729
P98,57887
P8875,57940
P178,58896
P286,59335
P825,59903
P1040,60012
P7374,61503
P144,62636
P945,62701
P1950,62723
P2341,63987
P1313,64038
P5607,65245
P5166,66126
P97,66408
P1038,68184
P135,68764
P7938,68782
P4552,69993
P9161,70685
P2302,72820
P802,73302
P974,74371
P1411,76441
P559,76944
P6275,82138
P30,82451
P4614,85504
P814,85861
P1598,86102
P725,86176
P8005,86324
P404,86927
P112,87332
P61,87994
P485,89767
P206,90328
P706,91011
P10290,91593
P1376,91947
P84,92435
P3450,95952
P397,97088
P2321,97213
P1071,97621
P196,97746
P840,99184
P344,99940
P10254,100183
P726,100529
P53,102493
P355,102929
P1066,104314
P8047,105186
P5138,106398
P5817,106880
P449,107576
P1196,111892
P747,111921
P16,117310
P664,117586
P1416,118044
P403,121786
P172,122097
P629,122136
P509,124227
P36,125267
P800,125581
P1478,126451
P272,131630
P674,136202
P241,136421
P2079,137191
P749,140718
P4908,146307
P9072,146411
P4101,146474
P5323,148464
P5236,151214
P141,152292
P149,152338
P1441,154775
P5522,156394
P366,158928
P7727,160514
P2632,163214
P176,168814
P410,171706
P3602,174099
P566,181402
P1269,185936
P6099,188641
P2894,192815
P708,195521
P6886,198265
P5137,198977
P162,202070
P4844,204149
P66,208005
P58,209129
P1552,209165
P462,210051
P9714,214360
P1303,216940
P669,220480
P1923,221846
P2789,222354
P2348,225175
P118,231332
P607,241533
P86,243676
P1532,243813
P859,248668
P452,250943
P197,252495
P2094,257612
P360,259699
P1050,265282
P6153,272733
P1454,274882
P9566,284571
P119,286840
P1346,291918
P5911,296354
P2817,306298
P437,313520
P103,319662
P128,326265
P551,327767
P460,328612
P185,336842
P184,343621
P264,366925
P912,369942
P6379,373944
P57,377011
P8363,383024
P881,385928
P7228,407704
P7763,413459
P364,415637
P7261,416259
P413,418198
P937,427315
P7937,429601
P3373,453579
P138,453867
P140,493573
P5185,518788
P463,522817
P159,526398
P102,535078
P6104,542767
P126,550796
P175,551831
P291,573403
P4510,580560
P123,596026
P6224,628164
P25,653954
P282,712194
P910,712207
P301,715891
P710,732984
P137,734281
P26,783799
P1344,791571
P793,802869
P7959,807514
P180,808469
P47,827035
P4224,862955
P127,882304
P5572,883171
P681,897079
P1889,907327
P179,922635
P101,933193
P5008,967736
P688,977934
P702,980949
P22,1038815
P2548,1069608
P150,1141205
P682,1189010
P680,1206376
P170,1284162
P20,1369147
P156,1391838
P155,1408117
P166,1517336
P161,1529195
P39,1562209
P54,1631298
P495,1657286
P40,1691351
P136,1793952
P186,1872372
P108,1915812
P275,2031406
P421,2040744
P1343,2057503
P641,2059909
P527,2200615
P1435,2337828
P195,2507914
P1412,2679000
P69,2681631
P971,2830624
P276,3256455
P19,3342371
P105,3725183
P171,3736161
P6216,3864649
P684,4326387
P361,4737114
P279,4776733
P734,4810894
P27,4941153
P59,7376327
P735,7442909
P6259,8081150
P21,8900394
P106,10833575
P131,12898434
P17,16909554
P407,19897345
P921,28080238
P50,30479555
P1433,41958443
P31,112809044
P2860,291311437
